,target,text
0,0,go point crazy avail bug n great world la e buffets line got amour wat
1,0,ok war joke u
2,1,free entry 2 come win cup final tut must may 2005 text 87121 receive entry question txt rate apply 08452810075over18
3,0,u dun say early u c already say
4,0,ah dont think go us live around though
5,1,freemen hey dark 3 week word back id like fun still ok xxx st ch send 150 rev
6,0,even brother like speak treat like aid patent
7,0,per request well well minnaminungint nurungu vest set callertun call press 9 copy friend callertun
8,1,winner value network custom select receive 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
9,1,mobile 11 month u r entity update latest colour mobile camera free call mobile update co free 08002986030
10,0,donna home soon dont want talk stuff anymore tonight k give cry enough today
11,1,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday day 16 stand apply reply 4
12,1,urgent 1 week free membership 100000 prize jackson txt word claim 81010 wwwdbuknet lccltd pobox 4403ldnw1a7rw18
13,0,give search right word thank breath promise wont take help grant fulfil promise wonder bless time
14,0,date sunday
15,1,xxxmobilemovieclub use credit click link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh watch
17,0,eh u remember 2 spell name ye v naught make v wet
18,0,fine way u feel way got b
19,1,england v macedonia dont miss goalsteam news txt nation team 87077 eg england 87077 trial scotland txt̼120 poboxox36504w45wq 16
20,0,serious spell name
21,0,go try 2 month ha ha joke
22,0,pay first war da stock come
23,0,aft finish lunch go sir 3 smith u finish lunch already
24,0,ffffffffff alright way meet sooner
25,0,eat slice really hungry suck mark get worry know sick turn penza
26,0,away convince
27,0,catch bu fro egg make tea eat mon left dinner feel love
28,0,back amp pack car ill let know room
29,0,ah work vague remember feel like
30,0,wait still clear sure sarcasm x want live us
31,0,yeah got 2 v apology n fallen action like spoil child got caught till 2 wont go badly cheer
32,0,k tell
33,0,fear faint homework quick cuba
34,1,thank subscribe winston mobile charge month plea confirm reply ye reply charge
35,0,ok go home look time mug xuhui go learn may lesson
36,0,top ill let know roommat done
37,0,see letter b car
38,0,u decide
39,0,hello saturday go text see decide try invite
40,0,go ahead watt want sure great weekend axilla
41,0,forget tell want need grave love sweet arabian steed mmmmmm gumma
42,1,07732584351 roger burn mug try call reply free nikita mobile free accord plea call 08000930705 devil tomorrow
43,0,see
44,0,great hope like man well endow left inch
45,0,callsmessagesmiss call
46,0,get b immunise siberia
47,0,fair enough go
48,0,yeah hope tyler could may ask around bit
49,0,u dont know stubborn even want go hospital kept tell mark weak suck hospital weak suck
50,0,think first time saw class
51,0,gram usual run like left half eighth smarter though get almost whole second gram left
52,0,k foi x ride early tomorrow more he crash place tonight
53,0,now never realize embarass accord thought like since best could away seem happy cave in sorry didn dont give in sorry offer in sorry room embarass
54,1,s ac sat new jersey devil detroit red wing play ice hockey correct incorrect end reply end sat
55,0,know pallida sherawat yesterday find lturlgt
56,1,contrat 1 year special cinema pass 2 call 09061209465 c sherman v matrix starwars3 etc 4 free bx420ip45w 150pm dont miss
57,0,sorry ill call later meet
58,0,tell reach
59,0,yesgauti shag odd peri
60,0,donna pick 1 burgher way home can even move pain kill
61,0,ha ha ha good joke girl situate seeker
62,0,part check in
63,0,sorry roommat took fore ok come
64,0,ok war doubt check if da hair dresser already said won cut v short said cut look nice
65,1,value custom pleas advise follow recent review mob award 1500 bone prize call 09066364589
66,0,today song devil day song u devil send or valuable find first reply
67,1,urgent or award complimentary trip eurodisinc trap acoentry41 1000 claim txt di 87121 186150morefrmmob shracomorsglsuplt10 is a
68,1,hear new divorce bare come ken stuff
69,0,plane give month end
70,0,was luck man save money he
71,0,finish class
72,0,hi babe in home anna cometh xx
73,0,where youhow perform
74,0,u call
75,0,wait mahan call free
76,0,that cool gentleman treat dignity respect
77,0,like people much she pa
78,0,over left
79,0,still look job much ta earn
80,0,sorry ill call later
81,0,k call ah
82,0,ok way home hi hi
83,0,place man
84,0,up next stop
85,0,call later dont network urgent s
86,0,real u get to need 2 ticket one jacket in done already use multi
87,0,ye start send request make pain came back in back bed doubt coin factor gutta cash into
88,0,in really still tonight babe
89,0,la knoll download come wen or free
90,0,yeah dont stand close the you catch cometh
91,0,sorry pain ok meet not night spent late afternoon casualty mean haven done stuff42moro include time sheet sorry
92,0,smile pleasure smile pain smile trouble pour like rain smile sum hurt u smile become someone still love see u smile
93,1,pleas call custom service repress 0800 169 6031 10am9pm guarantee 1000 cash 5000 prize
94,0,haven plan buy later check already lid got 530 show e afternoon u finish work already
95,1,free winston wait collect simple text password mix 85069 verify get usher briony for
96,0,watch deluge moviewat at u
97,0,see finish load loan pay
98,0,hi we ok how ye bit run forgot hardness appoint four need get home n shower beforehand cause probe u ham
99,0,pleas dont text anymore not else say
100,0,okay name or price long legal wen pick u ave x am xx
101,0,in still look car buy gone the drive test yet
103,0,now your right didn mean guess gave boston men change search local ny cometh change cut signing page still say boston
104,0,gumma life cava gumma love lot dear
105,0,thank lot wish birthday thank make birthday truly memory
106,0,right ill hit get cash
107,0,would in address test consider compute isn minecraft server
108,0,know grumpy old people mon like better lie away one play joke
109,0,dont worry guess he busy
110,0,plural noun research
111,0,go dinners
112,0,in ok if co like 2 try new thing scare u dun like may co u said loud
113,1,went try contact last weekend draw show 1000 prize guarantee call 09064012160 claim code k valid 12hr 150ppm
114,0,wa or opening sentence formal anyway in fine jug tt in eating much n putting weighthaha anything special happen
115,0,enter cabin pa said happy day boss felt special asked 4 lunch lunch invite apart went
116,1,winner u special select 2 receive 1000 4 holiday flight in speak live over 2 claim 0871277810910pmin 18
117,0,good ye must speak friday eggpotato ratio gorilla need
118,0,homme uncle inform he pay school directly ll buy food
119,1,privat 2004 account statement 07742676969 show 786 redeem bone point claim call 08719180248 identify code 45239 expire
120,1,urgent mobile award 2000 bone called prize 5903 final try contact u call lanolin 09064019788 box42wr29c 150ppm
121,0,new address applespairsal malaria
122,1,today vodka number end 7548 select receive 350 award match pleas call 08712300220 quit claim code 4041 standard rate pp
123,0,go so my today done 12
124,0,predict wat time finish buy
125,0,good stuff
126,0,knowyetund hasn sent money yet sent text bother send dont involve any shouldn impose any first place apologies
127,0,room
128,0,hey girl r u hope u r well del r back long time c give call sum time lucy
129,0,how much cost
130,0,in home
131,0,dear call tmorrowpl accord
132,0,first answer question
133,1,sunshine quit will q win top son did player u know country alarm txt and 82277 150 sptyron
